,URL,Category,RawCategory,WhatIsIt,City
157,https://www.getyourguide.com/s?q=Barcelona&lc=l2699,Sagrada Familia,2699,Destination,Barcelona
158,https://www.getyourguide.com/s?q=Barcelona&lc=l24689,Barcelona Port,24689,Destination,Barcelona
159,https://www.getyourguide.com/s?q=Barcelona&lc=l3060,Port Vell,3060,Destination,Barcelona
160,https://www.getyourguide.com/s?q=Barcelona&lc=l22751,Olympic Port,22751,Destination,Barcelona
161,https://www.getyourguide.com/s?q=Barcelona&lc=l3027,Casa Batlló,3027,Destination,Barcelona
162,https://www.getyourguide.com/s?q=Barcelona&lc=l3037,Passeig de Gracia,3037,Destination,Barcelona
163,https://www.getyourguide.com/s?q=Barcelona&lc=l3032,Park Güell,3032,Destination,Barcelona
164,https://www.getyourguide.com/s?q=Barcelona&lc=l22708,Arc de Triomf,22708,Destination,Barcelona
165,https://www.getyourguide.com/s?q=Barcelona&lc=l3047,Parc de la Ciutadella,3047,Destination,Barcelona
166,https://www.getyourguide.com/s?q=Barcelona&lc=l3038,Casa Mila,3038,Destination,Barcelona
167,https://www.getyourguide.com/s?q=Berlin,Global,Global,Category,Berlin
168,https://www.getyourguide.com/s?q=Berlin&activity_type=entryTicket,Entry tickets,entryTicket,Category,Berlin
169,https://www.getyourguide.com/s?q=Berlin&activity_type=guidedTour,Guided tours,guidedTour,Category,Berlin
170,https://www.getyourguide.com/s?q=Berlin&activity_type=privateTour,Private tours,privateTour,Category,Berlin
171,https://www.getyourguide.com/s?q=Berlin&activity_type=other,Other experiences,other,Category,Berlin
172,https://www.getyourguide.com/s?q=Berlin&activity_type=waterActivity,Water activities,waterActivity,Category,Berlin
173,https://www.getyourguide.com/s?q=Berlin&activity_type=cityCard,City cards,cityCard,Category,Berlin
174,https://www.getyourguide.com/s?q=Berlin&activity_type=dayTrip,Day trips,dayTrip,Category,Berlin
175,https://www.getyourguide.com/s?q=Berlin&activity_type=adventure,Adventures,adventure,Category,Berlin
176,https://www.getyourguide.com/s?q=Berlin&activity_type=hopOnHopOff,Hop-on hop-off tours,hopOnHopOff,Category,Berlin
177,https://www.getyourguide.com/s?q=Berlin&activity_type=transfer,Transfers,transfer,Category,Berlin
178,https://www.getyourguide.com/s?q=Berlin&activity_type=bundle,Bundles,bundle,Category,Berlin
179,https://www.getyourguide.com/s?q=Berlin&activity_type=workshopOrClass,Workshops & classes,workshopOrClass,Category,Berlin
180,https://www.getyourguide.com/s?q=Berlin&activity_type=multiDayTrip,Multi-day trips,multiDayTrip,Category,Berlin
181,https://www.getyourguide.com/s?q=Berlin&themes=city_sightseeing,City sightseeing,city_sightseeing,Intrests,Berlin
182,https://www.getyourguide.com/s?q=Berlin&themes=local_culture,Local culture,local_culture,Intrests,Berlin
183,https://www.getyourguide.com/s?q=Berlin&themes=outdoor,Outdoor,outdoor,Intrests,Berlin
184,https://www.getyourguide.com/s?q=Berlin&themes=history,History,history,Intrests,Berlin
