,URL,Category,RawCategory,MatchCategory,City
263,https://www.viator.com/Krakow-tours/Half-day-Tours/d529-g12-c95,Half-day Tours,/Krakow-tours/Half-day-Tours/d529-g12-c95,Half-day-Tours,Krakow
264,https://www.viator.com/Krakow-tours/Historical-and-Heritage-Tours/d529-g4-c12,Historical Tours,/Krakow-tours/Historical-and-Heritage-Tours/d529-g4-c12,Historical-and-Heritage-Tours,Krakow
265,https://www.viator.com/Krakow-tours/LTSO-Viator-Market-Driven-Merchandising/d529-tag22083,Likely To Sell Out,/Krakow-tours/LTSO-Viator-Market-Driven-Merchandising/d529-tag22083,LTSO-Viator-Market-Driven-Merchandising,Krakow
266,https://www.viator.com/Krakow-tours/Luxury-Tours/d529-g25-c113,Private and Luxury,/Krakow-tours/Luxury-Tours/d529-g25-c113,Luxury-Tours,Krakow
267,https://www.viator.com/Krakow-tours/Outdoor-Activities/d529-g9,Outdoor Activities,/Krakow-tours/Outdoor-Activities/d529-g9,Outdoor-Activities,Krakow
268,https://www.viator.com/Krakow-tours/Photography-Tours/d529-g12-c26028,Photography Tours,/Krakow-tours/Photography-Tours/d529-g12-c26028,Photography-Tours,Krakow
269,https://www.viator.com/Krakow-tours/Private-Drivers/d529-g15-c32762,Private Drivers,/Krakow-tours/Private-Drivers/d529-g15-c32762,Private-Drivers,Krakow
270,https://www.viator.com/Krakow-tours/Private-Sightseeing-Tours/d529-g26-c116,Private Sightseeing Tours,/Krakow-tours/Private-Sightseeing-Tours/d529-g26-c116,Private-Sightseeing-Tours,Krakow
271,https://www.viator.com/Krakow-tours/Seasonal-and-Special-Occasions/d529-tag21916,Seasonal & Special Occasions,/Krakow-tours/Seasonal-and-Special-Occasions/d529-tag21916,Seasonal-and-Special-Occasions,Krakow
272,https://www.viator.com/Krakow-tours/Shooting-Range/d529-tag21447,Shooting Ranges,/Krakow-tours/Shooting-Range/d529-tag21447,Shooting-Range,Krakow
273,https://www.viator.com/Krakow-tours/Sightseeing/d529-tag21725,Sightseeing Tours,/Krakow-tours/Sightseeing/d529-tag21725,Sightseeing,Krakow
274,https://www.viator.com/Krakow-tours/Sightseeing-Tickets-and-Passes/d529-g8,Tickets & Passes,/Krakow-tours/Sightseeing-Tickets-and-Passes/d529-g8,Sightseeing-Tickets-and-Passes,Krakow
275,https://www.viator.com/Krakow-tours/Skip-the-Line-Tours/d529-g12-c5329,Skip the line Tickets,/Krakow-tours/Skip-the-Line-Tours/d529-g12-c5329,Skip-the-Line-Tours,Krakow
276,https://www.viator.com/Krakow-tours/Thermal-Spas-and-Hot-Springs/d529-g5335-c5338,Thermal Spas & Hot Springs,/Krakow-tours/Thermal-Spas-and-Hot-Springs/d529-g5335-c5338,Thermal-Spas-and-Hot-Springs,Krakow
277,https://www.viator.com/Krakow-tours/Tours-and-Sightseeing/d529-g12,"Tours, Sightseeing & Cruises",/Krakow-tours/Tours-and-Sightseeing/d529-g12,Tours-and-Sightseeing,Krakow
278,https://www.viator.com/Krakow-tours/Transfers-and-Ground-Transport/d529-g15,Travel & Transportation Services,/Krakow-tours/Transfers-and-Ground-Transport/d529-g15,Transfers-and-Ground-Transport,Krakow
279,https://www.viator.com/Krakow-tours/Unique-Experiences/d529-g50127-c50128,Unique Experiences,/Krakow-tours/Unique-Experiences/d529-g50127-c50128,Unique-Experiences,Krakow
280,https://www.viator.com/Krakow-tours/Walking-Tours/d529-g16-c56,Walking Tours,/Krakow-tours/Walking-Tours/d529-g16-c56,Walking-Tours,Krakow
281,https://www.viator.com/Lisbon/d538-ttd,Global,/Global/Global,Global,Lisbon
282,https://www.viator.com/Lisbon-tours/Tours-and-Sightseeing/d538-g12,"Tours, Sightseeing & Cruises",/Lisbon-tours/Tours-and-Sightseeing/d538-g12,Tours-and-Sightseeing,Lisbon
283,https://www.viator.com/Lisbon-tours/How-to-Get-Around/d538-tag21715,How to Get Around,/Lisbon-tours/How-to-Get-Around/d538-tag21715,How-to-Get-Around,Lisbon
284,https://www.viator.com/Lisbon-tours/Sightseeing/d538-tag21725,Sightseeing Tours,/Lisbon-tours/Sightseeing/d538-tag21725,Sightseeing,Lisbon
285,https://www.viator.com/Lisbon-tours/Tours-by-Duration/d538-tag21732,Tours by Duration,/Lisbon-tours/Tours-by-Duration/d538-tag21732,Tours-by-Duration,Lisbon
286,https://www.viator.com/Lisbon-tours/Private-Sightseeing-Tours/d538-g26-c116,Private Sightseeing Tours,/Lisbon-tours/Private-Sightseeing-Tours/d538-g26-c116,Private-Sightseeing-Tours,Lisbon
287,https://www.viator.com/Lisbon-tours/Art-and-Culture/d538-tag21910,Art & Culture,/Lisbon-tours/Art-and-Culture/d538-tag21910,Art-and-Culture,Lisbon
288,https://www.viator.com/Lisbon-tours/Culture/d538-tag21511,Culture,/Lisbon-tours/Culture/d538-tag21511,Culture,Lisbon
289,https://www.viator.com/Lisbon-tours/Bus-and-Minivan-Tours/d538-g12-c98,Bus Tours,/Lisbon-tours/Bus-and-Minivan-Tours/d538-g12-c98,Bus-and-Minivan-Tours,Lisbon
290,https://www.viator.com/Lisbon-tours/Historical-and-Heritage-Tours/d538-g4-c12,Historical Tours,/Lisbon-tours/Historical-and-Heritage-Tours/d538-g4-c12,Historical-and-Heritage-Tours,Lisbon
291,https://www.viator.com/Lisbon-tours/Cultural-Tours/d538-g4-c11,Cultural Tours,/Lisbon-tours/Cultural-Tours/d538-g4-c11,Cultural-Tours,Lisbon
